x,y,clusterId
0,0
0,0
0,5
0,10
0,15
0,20
0,25
0,30
0,35
0,40
0,45
0,50
0,55
0,60
0,65
0,70
0,75
0,80
0,85
0,90
0,95
0,100
0,100
5,0
5,100
10,0
10,100
15,0
15,100
20,0
20,100
25,0
25,100
30,0
30,100
35,0
35,100
40,0
40,100
45,0
45,100
50,0
50,100
55,0
55,100
60,0
60,100
65,0
65,100
70,0
70,100
75,0
75,100
80,0
80,100
85,0
85,100
90,0
90,100
95,0
95,100
100,0
100,0
100,5
100,10
100,15
100,20
100,25
100,30
100,35
100,40
100,45
100,50
100,55
100,60
100,65
100,70
100,75
100,80
100,85
100,90
100,95
100,100
100,100
